country_name,country_code,year,value
Afghanistan,AFG,2017,18896353156
Afghanistan,AFG,2018,18418860354
Afghanistan,AFG,2019,18904502222
Afghanistan,AFG,2020,20143451706
Afghanistan,AFG,2021,14583135237
Albania,ALB,2017,13019726212
Albania,ALB,2018,15156424062
Albania,ALB,2019,15401826081
Albania,ALB,2020,15162734205
Albania,ALB,2021,17930565119
Albania,ALB,2022,18882095518
Algeria,DZA,2017,1.7E+11
Algeria,DZA,2018,1.75E+11
Algeria,DZA,2019,1.72E+11
Algeria,DZA,2020,1.46E+11
Algeria,DZA,2021,1.63E+11
Algeria,DZA,2022,1.92E+11
American Samoa,ASM,2017,612000000
American Samoa,ASM,2018,639000000
American Samoa,ASM,2019,647000000
American Samoa,ASM,2020,716000000
American Samoa,ASM,2021,709000000
Andorra,AND,2017,3000162081
Andorra,AND,2018,3218419897
Andorra,AND,2019,3155149348
Andorra,AND,2020,2891001149
Andorra,AND,2021,3325145407
Andorra,AND,2022,3352032737
Angola,AGO,2017,68972769396
Angola,AGO,2018,77792944472
Angola,AGO,2019,69309110146
Angola,AGO,2020,50241368244
Angola,AGO,2021,65685435100
Angola,AGO,2022,1.07E+11
Antigua and Barbuda,ATG,2017,1467955556
Antigua and Barbuda,ATG,2018,1604770370
Antigua and Barbuda,ATG,2019,1675403704
Antigua and Barbuda,ATG,2020,1416348148
Antigua and Barbuda,ATG,2021,1560518519
Antigua and Barbuda,ATG,2022,1757603704
Argentina,ARG,2017,6.44E+11
Argentina,ARG,2018,5.25E+11
Argentina,ARG,2019,4.48E+11
Argentina,ARG,2020,3.86E+11
Argentina,ARG,2021,4.87E+11
Argentina,ARG,2022,6.33E+11
Armenia,ARM,2017,11527458713
Armenia,ARM,2018,12457940705
Armenia,ARM,2019,13619290546
Armenia,ARM,2020,12641698594
Armenia,ARM,2021,13861409969
Armenia,ARM,2022,19502783988
Aruba,ABW,2017,3092178771
Aruba,ABW,2018,3276187709
Aruba,ABW,2019,3395793855
Aruba,ABW,2020,2610038939
Aruba,ABW,2021,3126019385
Australia,AUS,2017,1.33E+12
Australia,AUS,2018,1.43E+12
Australia,AUS,2019,1.39E+12
